group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
addition rnd,,,,,1001014.0,ns,259
addition rnd,,,,,1981837.0,ns,518
addition rnd,,,,,2978061.0,ns,777
addition rnd,,,,,3966235.0,ns,1036
addition rnd,,,,,4956919.0,ns,1295
addition rnd,,,,,5950072.0,ns,1554
addition rnd,,,,,6931145.0,ns,1813
addition rnd,,,,,7934349.0,ns,2072
addition rnd,,,,,8919863.0,ns,2331
addition rnd,,,,,9908257.0,ns,2590
addition rnd,,,,,10914661.0,ns,2849
addition rnd,,,,,11912755.0,ns,3108
addition rnd,,,,,12908468.0,ns,3367
addition rnd,,,,,13897102.0,ns,3626
addition rnd,,,,,14893645.0,ns,3885
addition rnd,,,,,15910750.0,ns,4144
addition rnd,,,,,16915873.0,ns,4403
addition rnd,,,,,17881927.0,ns,4662
addition rnd,,,,,18873710.0,ns,4921
addition rnd,,,,,19874303.0,ns,5180
addition rnd,,,,,20852048.0,ns,5439
addition rnd,,,,,21892803.0,ns,5698
addition rnd,,,,,22853345.0,ns,5957
addition rnd,,,,,23819869.0,ns,6216
addition rnd,,,,,24813832.0,ns,6475
addition rnd,,,,,25804396.0,ns,6734
addition rnd,,,,,26765360.0,ns,6993
addition rnd,,,,,27786203.0,ns,7252
addition rnd,,,,,28815887.0,ns,7511
addition rnd,,,,,29731961.0,ns,7770
addition rnd,,,,,30765455.0,ns,8029
addition rnd,,,,,31784798.0,ns,8288
addition rnd,,,,,32689471.0,ns,8547
addition rnd,,,,,33715315.0,ns,8806
addition rnd,,,,,34730640.0,ns,9065
addition rnd,,,,,35704762.0,ns,9324
addition rnd,,,,,36772598.0,ns,9583
addition rnd,,,,,37669770.0,ns,9842
addition rnd,,,,,38730914.0,ns,10101
addition rnd,,,,,39659728.0,ns,10360
addition rnd,,,,,40611911.0,ns,10619
addition rnd,,,,,41626134.0,ns,10878
addition rnd,,,,,42637109.0,ns,11137
addition rnd,,,,,43596591.0,ns,11396
addition rnd,,,,,44633686.0,ns,11655
addition rnd,,,,,45632890.0,ns,11914
addition rnd,,,,,46606253.0,ns,12173
addition rnd,,,,,47565826.0,ns,12432
addition rnd,,,,,48576421.0,ns,12691
addition rnd,,,,,49555443.0,ns,12950
addition rnd,,,,,50614789.0,ns,13209
addition rnd,,,,,51608442.0,ns,13468
addition rnd,,,,,52678907.0,ns,13727
addition rnd,,,,,53611330.0,ns,13986
addition rnd,,,,,54609333.0,ns,14245
addition rnd,,,,,55596187.0,ns,14504
addition rnd,,,,,56540911.0,ns,14763
addition rnd,,,,,57555624.0,ns,15022
addition rnd,,,,,58450927.0,ns,15281
addition rnd,,,,,59544781.0,ns,15540
addition rnd,,,,,60494365.0,ns,15799
addition rnd,,,,,61544979.0,ns,16058
addition rnd,,,,,62594794.0,ns,16317
addition rnd,,,,,63468775.0,ns,16576
addition rnd,,,,,64617472.0,ns,16835
addition rnd,,,,,65493854.0,ns,17094
addition rnd,,,,,66415006.0,ns,17353
addition rnd,,,,,67521322.0,ns,17612
addition rnd,,,,,68434514.0,ns,17871
addition rnd,,,,,69390577.0,ns,18130
addition rnd,,,,,70382792.0,ns,18389
addition rnd,,,,,71402785.0,ns,18648
addition rnd,,,,,72570551.0,ns,18907
addition rnd,,,,,73422413.0,ns,19166
addition rnd,,,,,74532558.0,ns,19425
addition rnd,,,,,75379291.0,ns,19684
addition rnd,,,,,76330223.0,ns,19943
addition rnd,,,,,77424828.0,ns,20202
addition rnd,,,,,78473703.0,ns,20461
addition rnd,,,,,79359475.0,ns,20720
addition rnd,,,,,80424519.0,ns,20979
addition rnd,,,,,81332292.0,ns,21238
addition rnd,,,,,82339096.0,ns,21497
addition rnd,,,,,83321130.0,ns,21756
addition rnd,,,,,84269892.0,ns,22015
addition rnd,,,,,85318108.0,ns,22274
addition rnd,,,,,86449933.0,ns,22533
addition rnd,,,,,87290265.0,ns,22792
addition rnd,,,,,88309408.0,ns,23051
addition rnd,,,,,89349003.0,ns,23310
addition rnd,,,,,90384097.0,ns,23569
addition rnd,,,,,91293419.0,ns,23828
addition rnd,,,,,92261543.0,ns,24087
addition rnd,,,,,93284127.0,ns,24346
addition rnd,,,,,94223420.0,ns,24605
addition rnd,,,,,95298534.0,ns,24864
addition rnd,,,,,105017229.0,ns,25123
addition rnd,,,,,317356817.0,ns,25382
addition rnd,,,,,585111922.0,ns,25641
addition rnd,,,,,509948484.0,ns,25900
