group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mul rnd,,,,,1012329.0,ns,8
mul rnd,,,,,2018298.0,ns,16
mul rnd,,,,,3037346.0,ns,24
mul rnd,,,,,4031225.0,ns,32
mul rnd,,,,,5092155.0,ns,40
mul rnd,,,,,6091543.0,ns,48
mul rnd,,,,,7082212.0,ns,56
mul rnd,,,,,8107531.0,ns,64
mul rnd,,,,,9072169.0,ns,72
mul rnd,,,,,10105499.0,ns,80
mul rnd,,,,,11198527.0,ns,88
mul rnd,,,,,12130536.0,ns,96
mul rnd,,,,,13062644.0,ns,104
mul rnd,,,,,14184624.0,ns,112
mul rnd,,,,,15220104.0,ns,120
mul rnd,,,,,16124201.0,ns,128
mul rnd,,,,,17230211.0,ns,136
mul rnd,,,,,18411231.0,ns,144
mul rnd,,,,,19286358.0,ns,152
mul rnd,,,,,20306228.0,ns,160
mul rnd,,,,,21418937.0,ns,168
mul rnd,,,,,22348805.0,ns,176
mul rnd,,,,,23255974.0,ns,184
mul rnd,,,,,24255151.0,ns,192
mul rnd,,,,,25302401.0,ns,200
mul rnd,,,,,26268220.0,ns,208
mul rnd,,,,,27462820.0,ns,216
mul rnd,,,,,28353858.0,ns,224
mul rnd,,,,,29358966.0,ns,232
mul rnd,,,,,30385306.0,ns,240
mul rnd,,,,,31362194.0,ns,248
mul rnd,,,,,32399773.0,ns,256
mul rnd,,,,,33419291.0,ns,264
mul rnd,,,,,34569410.0,ns,272
mul rnd,,,,,35387877.0,ns,280
mul rnd,,,,,36474958.0,ns,288
mul rnd,,,,,37342736.0,ns,296
mul rnd,,,,,38560686.0,ns,304
mul rnd,,,,,39590244.0,ns,312
mul rnd,,,,,40522294.0,ns,320
mul rnd,,,,,41580932.0,ns,328
mul rnd,,,,,42545690.0,ns,336
mul rnd,,,,,43621169.0,ns,344
mul rnd,,,,,44566419.0,ns,352
mul rnd,,,,,45691228.0,ns,360
mul rnd,,,,,46563386.0,ns,368
mul rnd,,,,,47593995.0,ns,376
mul rnd,,,,,48661933.0,ns,384
mul rnd,,,,,49520211.0,ns,392
mul rnd,,,,,50747412.0,ns,400
mul rnd,,,,,51719930.0,ns,408
mul rnd,,,,,52614978.0,ns,416
mul rnd,,,,,53755388.0,ns,424
mul rnd,,,,,54557155.0,ns,432
mul rnd,,,,,55833924.0,ns,440
mul rnd,,,,,56724693.0,ns,448
mul rnd,,,,,57706800.0,ns,456
mul rnd,,,,,58694660.0,ns,464
mul rnd,,,,,60024861.0,ns,472
mul rnd,,,,,60871268.0,ns,480
mul rnd,,,,,61780816.0,ns,488
mul rnd,,,,,62643453.0,ns,496
mul rnd,,,,,63743753.0,ns,504
mul rnd,,,,,64907884.0,ns,512
mul rnd,,,,,65776650.0,ns,520
mul rnd,,,,,66855550.0,ns,528
mul rnd,,,,,68014010.0,ns,536
mul rnd,,,,,68979009.0,ns,544
mul rnd,,,,,69785055.0,ns,552
mul rnd,,,,,71026336.0,ns,560
mul rnd,,,,,71952462.0,ns,568
mul rnd,,,,,73031862.0,ns,576
mul rnd,,,,,73980609.0,ns,584
mul rnd,,,,,75022178.0,ns,592
mul rnd,,,,,76111418.0,ns,600
mul rnd,,,,,77115377.0,ns,608
mul rnd,,,,,78019334.0,ns,616
mul rnd,,,,,78967632.0,ns,624
mul rnd,,,,,79945002.0,ns,632
mul rnd,,,,,81066250.0,ns,640
mul rnd,,,,,81967859.0,ns,648
mul rnd,,,,,83142498.0,ns,656
mul rnd,,,,,84179688.0,ns,664
mul rnd,,,,,85116823.0,ns,672
mul rnd,,,,,86192243.0,ns,680
mul rnd,,,,,87243441.0,ns,688
mul rnd,,,,,88081549.0,ns,696
mul rnd,,,,,89171328.0,ns,704
mul rnd,,,,,90142137.0,ns,712
mul rnd,,,,,91290277.0,ns,720
mul rnd,,,,,92218754.0,ns,728
mul rnd,,,,,93118013.0,ns,736
mul rnd,,,,,94246401.0,ns,744
mul rnd,,,,,95171120.0,ns,752
mul rnd,,,,,96560649.0,ns,760
mul rnd,,,,,97256495.0,ns,768
mul rnd,,,,,98362975.0,ns,776
mul rnd,,,,,99277162.0,ns,784
mul rnd,,,,,100288281.0,ns,792
mul rnd,,,,,101334461.0,ns,800
